,precision,recall,f1-score,support
anger,0.82,0.83,0.82,275.00
fear,0.84,0.72,0.78,224.00
joy,0.89,0.85,0.87,695.00
other,0.65,0.75,0.69,225.00
sadness,0.86,0.90,0.88,581.00
accuracy,0.83,0.83,0.83,0.83
macro avg,0.81,0.81,0.81,2000.00
weighted avg,0.84,0.83,0.84,2000.00
