,precision,recall,f1-score,support
anger,0.858,0.833,0.845,275.000
fear,0.823,0.746,0.782,224.000
joy,0.876,0.914,0.894,695.000
other,0.676,0.640,0.658,225.000
sadness,0.883,0.900,0.892,581.000
accuracy,0.849,0.849,0.849,0.849
macro avg,0.823,0.806,0.814,2000.000
weighted avg,0.847,0.849,0.848,2000.000
