,precision,recall,f1-score,support
anger,0.887,0.887,0.887,275.000
fear,0.807,0.879,0.842,224.000
joy,0.928,0.911,0.919,695.000
other,0.685,0.764,0.723,225.000
sadness,0.932,0.880,0.905,581.000
accuracy,0.878,0.878,0.878,0.878
macro avg,0.848,0.864,0.855,2000.000
weighted avg,0.883,0.878,0.880,2000.000
