,precision,recall,f1-score,support
anger,0.858,0.777,0.816,265.000
fear,0.740,0.860,0.796,215.000
joy,0.913,0.881,0.897,670.000
other,0.656,0.677,0.667,217.000
sadness,0.905,0.917,0.911,553.000
accuracy,0.852,0.852,0.852,0.852
macro avg,0.815,0.823,0.817,1920.000
weighted avg,0.855,0.852,0.852,1920.000
